Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
269;197,059;247;2005-03-1008:15:00;2005-03-1007:30:00;2005-03-10-00:00:00
233;181,657;221;2005-03-11-00:00:00;2005-03-1123:30:00;2005-03-11-00:00:00
228;191,925;221;2005-03-12-00:00:00;2005-03-12-00:00:00;2005-03-12-00:00:00
248;171,388;228;2005-03-1308:15:00;2005-03-1307:30:00;2005-03-13-00:00:00
284;171,388;247;2005-03-1409:00:00;2005-03-1407:45:00;2005-03-14-00:00:00
305;258,669;276;2005-03-1523:00:00;2005-03-15-00:00:00;2005-03-15-00:00:00
505;304,877;404;2005-03-1623:45:00;2005-03-16-00:00:00;2005-03-16-00:00:00
671;505,109;574;2005-03-1723:30:00;2005-03-17-00:00:00;2005-03-17-00:00:00
699;648,866;676;2005-03-1813:00:00;2005-03-1812:00:00;2005-03-18-00:00:00
671;628,329;643;2005-03-19-00:00:00;2005-03-1912:15:00;2005-03-19-00:00:00
644;576,988;614;2005-03-20-00:00:00;2005-03-2023:45:00;2005-03-20-00:00:00
577;530,78;548;2005-03-21-00:00:00;2005-03-2118:45:00;2005-03-21-00:00:00
582;530,78;556;2005-03-2217:45:00;2005-03-22-00:00:00;2005-03-22-00:00:00
623;556,451;600;2005-03-2310:15:00;2005-03-2323:30:00;2005-03-23-00:00:00
551;392,158;475;2005-03-24-00:00:00;2005-03-2422:30:00;2005-03-24-00:00:00
418;371,621;403;2005-03-25-00:00:00;2005-03-2523:00:00;2005-03-25-00:00:00
372;340,816;352;2005-03-26-00:00:00;2005-03-2608:00:00;2005-03-26-00:00:00
341;299,743;320;2005-03-27-00:00:00;2005-03-2712:45:00;2005-03-27-00:00:00
312;279,206;298;2005-03-28-00:00:00;2005-03-2812:15:00;2005-03-28-00:00:00
284;248,401;266;2005-03-29-00:00:00;2005-03-2922:30:00;2005-03-29-00:00:00
248;217,596;229;2005-03-30-00:00:00;2005-03-3020:15:00;2005-03-30-00:00:00
218;186,791;203;2005-03-31-00:00:00;2005-03-3122:30:00;2005-03-31-00:00:00
202;166,254;184;2005-04-0118:00:00;2005-04-0117:00:00;2005-04-01-00:00:00
187;171,388;178;2005-04-0206:00:00;2005-04-0202:15:00;2005-04-02-00:00:00
182;166,254;175;2005-04-03-00:00:00;2005-04-0317:15:00;2005-04-03-00:00:00
182;166,254;173;2005-04-0407:30:00;2005-04-0419:45:00;2005-04-04-00:00:00
197;99,51;162;2005-04-0504:45:00;2005-04-0503:45:00;2005-04-05-00:00:00
161;150,852;155;2005-04-0600:15:00;2005-04-0605:45:00;2005-04-06-00:00:00
156;135,449;150;2005-04-0714:30:00;2005-04-0723:15:00;2005-04-07-00:00:00
156;125,181;146;2005-04-0805:00:00;2005-04-0821:45:00;2005-04-08-00:00:00
171;130,315;144;2005-04-0923:15:00;2005-04-0902:30:00;2005-04-09-00:00:00
228;171,388;203;2005-04-1022:15:00;2005-04-10-00:00:00;2005-04-10-00:00:00
336;212,462;242;2005-04-1123:45:00;2005-04-1102:45:00;2005-04-11-00:00:00
408;340,816;388;2005-04-1221:45:00;2005-04-12-00:00:00;2005-04-12-00:00:00
479;387,023;405;2005-04-1309:30:00;2005-04-1313:45:00;2005-04-13-00:00:00
392;351,084;369;2005-04-14-00:00:00;2005-04-1416:00:00;2005-04-14-00:00:00
356;294,608;324;2005-04-15-00:00:00;2005-04-1517:45:00;2005-04-15-00:00:00
336;294,608;315;2005-04-1606:15:00;2005-04-1615:00:00;2005-04-16-00:00:00
603;304,877;450;2005-04-1723:30:00;2005-04-17-00:00:00;2005-04-17-00:00:00
613;571,853;592;2005-04-18-00:00:00;2005-04-1808:15:00;2005-04-18-00:00:00
671;597,524;637;2005-04-1922:30:00;2005-04-1909:00:00;2005-04-19-00:00:00
671;541,048;600;2005-04-20-00:00:00;2005-04-2023:30:00;2005-04-20-00:00:00
541;464,036;496;2005-04-21-00:00:00;2005-04-2115:15:00;2005-04-21-00:00:00
761;489,707;638;2005-04-2223:15:00;2005-04-22-00:00:00;2005-04-22-00:00:00
801;648,866;747;2005-04-2305:45:00;2005-04-2323:45:00;2005-04-23-00:00:00
649;469,17;558;2005-04-24-00:00:00;2005-04-2417:45:00;2005-04-24-00:00:00
485;397,292;444;2005-04-25-00:00:00;2005-04-2523:45:00;2005-04-25-00:00:00
397;315,145;365;2005-04-26-00:00:00;2005-04-2610:30:00;2005-04-26-00:00:00
336;279,206;305;2005-04-27-00:00:00;2005-04-2722:15:00;2005-04-27-00:00:00
295;222,73;257;2005-04-2816:45:00;2005-04-2821:30:00;2005-04-28-00:00:00
233;135,449;205;2005-04-2913:00:00;2005-04-2912:15:00;2005-04-29-00:00:00
197;155,986;182;2005-04-3008:45:00;2005-04-3023:45:00;2005-04-30-00:00:00
161;150,852;158;2005-05-0106:30:00;2005-05-0105:00:00;2005-05-01-00:00:00
