day_cos,day_sin,Arroyo,Calatayud,Mendavia,Miranda,castejon,palazuelos,ebro,mansilla,tranquera,yesa,pred
0.9994074007397048,0.03442161162274574,1.2,4.83,140.4,46.6,3.1,1.08,434.857,59.897,41.965,388.089,1.6
0.9158642882672872,0.401487989205973,4.91,4.11,29.7,19.6,1.8,1.36,195.981,9.908,39.911,256.209,0.86
0.9088176373395029,0.4171936026123168,5.11,4.43,36.4,10.2,1.98,0.7,183.622,15.888,16.012,253.524,1.11
0.998666816288476,0.051619667223253764,24.78,8.19,42.2,26.1,1.61,0.66,311.145,27.915,40.8,124.087,0.95
0.998666816288476,0.051619667223253764,1.19,16.56,181.5,130.8,2.98,3.39,410.97,22.84,53.425,171.269,1.8
0.9623090774541486,0.2719581575341055,5.31,6.07,34.4,11.8,1.74,0.79,463.478,46.224,31.667,292.378,0.85
0.9852201067560606,0.1712931441814776,1.43,7.69,743.6,856.2,6.17,9.22,296.428,35.494,40.8,114.086,3.59
0.9158642882672872,0.401487989205973,0.69,5.01,112.9,58.0,2.39,1.07,390.441,21.285,58.243,209.076,1.49
0.9852201067560606,0.1712931441814776,1.37,6.0,129.8,57.3,2.6,1.24,335.836,18.679,63.334,194.179,1.38
0.9469877530760753,0.3212696616923644,1.37,8.0,46.7,25.7,1.89,0.83,355.025,22.295,70.556,358.805,0.99
0.9668478136052775,0.255353295116187,1.18,5.18,93.8,41.2,2.52,0.91,446.444,61.221,43.613,395.212,1.19
0.9976303053065857,0.06880242680231986,1.15,16.62,175.8,52.5,4.01,1.64,462.294,64.103,45.897,412.179,2.23
0.9880226656636976,0.15430882066428114,1.1,2.92,90.0,51.6,2.02,1.23,429.687,57.139,59.774,405.996,0.93
0.9291414114031743,0.36972454289067314,1.34,4.12,40.9,17.3,2.68,0.79,512.31,62.45,80.155,335.497,1.33
1.0,0.0,1.28,4.67,48.7,27.7,2.02,1.52,408.168,24.977,37.633,129.881,1.02
0.9787400799669153,0.2051044998686192,1.09,6.63,58.6,12.1,1.93,0.76,474.778,57.908,44.865,398.13,0.91
0.9880226656636976,0.15430882066428114,1.18,4.41,82.5,39.7,2.68,0.98,328.191,53.718,53.655,351.494,1.37
0.9998518392091162,0.017213356155834685,19.88,7.9,33.7,23.9,1.54,0.62,376.845,45.829,53.567,207.084,0.66
0.9880226656636976,0.15430882066428114,37.84,6.96,50.7,38.7,1.84,0.87,372.005,45.716,71.114,244.201,0.86
0.9946708199115211,0.10310169744743485,0.69,4.94,74.8,28.0,2.11,0.93,402.033,23.444,60.759,233.627,1.32
0.9469877530760753,0.3212696616923644,1.18,5.0,18.2,10.1,1.73,0.76,428.542,37.119,56.056,160.705,0.84
0.8779600847008882,0.47873384011578846,1.28,8.09,39.8,18.3,1.77,0.75,452.287,62.52,68.343,353.977,0.82
0.901501684131884,0.4327755925504312,1.45,3.19,83.0,36.0,2.49,1.08,517.211,61.984,67.198,388.663,1.25
0.9927487224577402,0.1202080448993527,3.16,8.25,40.5,11.1,1.48,0.69,501.324,56.79,65.766,437.915,0.81
0.9226395488404876,0.3856634062436071,1.09,4.98,217.3,178.5,2.91,2.99,399.813,54.644,51.916,288.984,1.62
0.9413173175128471,0.3375228995941133,0.69,5.26,74.7,24.6,2.2,0.89,455.809,34.116,68.893,306.231,1.34
0.9946708199115211,0.10310169744743485,35.5,9.42,53.0,41.4,1.5,2.09,383.888,55.324,45.618,290.678,0.66
0.9668478136052775,0.255353295116187,1.43,4.93,93.4,49.9,2.18,1.94,400.368,30.521,72.081,193.225,1.08
0.9413173175128471,0.3375228995941133,1.37,7.73,51.4,29.5,2.14,0.86,396.494,38.872,73.104,399.693,1.09
0.9623090774541486,0.2719581575341055,1.46,7.31,45.5,17.5,1.73,1.51,478.369,61.66,81.043,365.138,0.81
0.901501684131884,0.4327755925504312,19.89,8.98,37.8,29.1,1.61,0.64,386.066,48.138,56.78,221.141,0.69
0.9994074007397048,0.03442161162274574,1.32,5.35,423.3,183.8,5.17,3.01,383.344,57.93,55.249,385.611,3.5
1.0,0.0,1.51,6.05,230.4,176.9,3.75,3.46,484.374,59.019,52.998,384.851,2.25
0.9880226656636976,0.15430882066428114,1.78,8.27,80.6,33.1,2.05,0.7,481.368,65.692,81.565,435.177,1.27
0.9088176373395029,0.4171936026123168,1.37,8.33,163.6,66.9,4.23,1.48,414.908,47.022,75.266,414.392,2.53
0.9750645322571948,0.2219215130041655,1.0,10.92,268.7,70.9,3.92,1.73,367.193,60.511,47.922,398.911,2.52
0.893918596519257,0.4482293417404106,31.51,6.82,50.1,57.7,1.54,0.67,467.035,54.517,58.289,386.372,0.72
0.9413173175128471,0.3375228995941133,1.17,2.95,348.8,290.9,4.55,4.79,285.351,39.076,25.971,340.307,2.49
0.9787400799669153,0.2051044998686192,1.28,1.45,96.3,33.0,2.21,0.85,443.535,58.751,75.422,342.037,1.05
0.9994074007397048,0.03442161162274574,25.14,5.61,18.6,18.4,1.46,1.6,207.058,18.656,20.076,242.418,0.56
1.0,0.0,1.09,2.09,15.9,9.3,1.77,1.18,142.423,4.991,17.579,103.473,0.75
0.9962981749346078,0.08596479873744647,0.69,5.02,62.7,38.8,2.01,0.94,356.602,19.061,54.316,178.226,1.25
0.9413173175128471,0.3375228995941133,1.21,5.37,130.7,49.7,2.66,1.47,425.114,25.214,58.843,203.504,1.41
0.9711000518829505,0.2386727660059501,1.1,10.32,80.9,39.4,2.02,0.79,521.508,60.9,80.312,398.715,1.03
0.9523775757303975,0.304921224656289,0.94,4.92,174.6,77.7,3.21,1.79,456.397,63.936,58.105,421.907,2.02
0.9994074007397048,0.03442161162274574,1.28,5.84,51.8,23.5,1.95,0.93,412.656,59.671,77.237,371.373,0.93
0.893918596519257,0.4482293417404106,34.76,6.97,30.9,29.4,1.67,0.84,322.633,39.639,67.098,182.225,0.75
0.9623090774541486,0.2719581575341055,14.98,3.38,40.9,21.5,1.64,1.57,403.702,35.302,37.349,227.528,0.8
0.9353679493131483,0.35367612217637157,1.09,4.6,25.3,11.3,2.01,0.78,418.864,26.012,42.689,144.222,1.04
0.9413173175128471,0.3375228995941133,1.37,7.85,43.7,27.9,1.82,0.83,354.5,22.43,70.657,360.245,0.94
1.0,0.0,19.89,7.92,35.9,27.4,1.58,0.62,378.465,46.224,54.051,209.701,0.69
0.9946708199115211,0.10310169744743485,1.5,7.34,573.3,396.1,5.58,5.87,272.574,31.052,40.428,84.88,3.04
0.869589389346611,0.4937755501599772,27.22,8.51,16.2,25.8,1.74,0.68,327.177,35.543,43.73,154.156,0.84
0.9880226656636976,0.15430882066428114,1.18,4.36,134.0,56.8,3.44,2.41,211.233,19.253,21.627,364.956,1.76
0.9852201067560606,0.1712931441814776,1.44,7.39,121.8,39.5,2.26,0.99,463.478,64.437,81.513,438.761,1.35
0.9927487224577402,0.1202080448993527,1.64,8.11,189.9,77.4,2.73,1.62,461.112,63.912,81.513,437.493,1.66
0.8779600847008882,0.47873384011578846,1.09,7.05,20.0,10.3,1.74,0.83,282.015,32.434,63.478,192.155,0.9
0.9880226656636976,0.15430882066428114,1.18,6.7,127.3,43.6,3.4,1.24,467.035,63.746,47.881,413.385,1.86
0.9994074007397048,0.03442161162274574,1.18,5.36,84.3,71.3,2.45,2.3,409.288,24.729,38.204,129.031,1.23
0.9226395488404876,0.3856634062436071,6.61,4.61,49.0,17.4,1.81,1.44,416.037,30.535,45.697,176.415,0.95
0.9905324521322229,0.13727877211326478,41.67,8.56,75.5,49.8,1.71,1.36,503.151,57.03,78.59,394.05,0.79
0.9821256058680006,0.18822670984324422,1.18,1.65,101.6,33.7,2.58,0.9,442.954,60.671,43.652,402.047,1.26
