day_cos,day_sin,Arroyo,Calatayud,Mendavia,Miranda,castejon,palazuelos,ebro,mansilla,tranquera,yesa,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
-0.0473213883224318,0.9988797155850336,1.0,12.5,379.7,124.1,6.31,2.65,349.271,59.875,46.378,403.82,1.0,12.5,379.7,124.1,1560.0,87.47,5.1
0.7935716089521474,0.6084768701151261,1.29,4.96,498.5,253.7,5.96,4.39,319.117,60.557,28.591,394.243,1.29,4.96,498.5,253.7,1260.0,239.03,3.58
0.4211008707960896,0.907013812802636,0.91,7.76,247.2,77.5,4.69,1.83,356.602,60.969,45.538,392.312,0.91,7.76,247.2,77.5,827.0,31.2,3.5
-0.9051931898913974,0.4250003399695541,1.1,8.63,369.5,141.1,4.74,2.6,467.629,65.764,69.144,406.591,1.1,8.63,369.5,141.1,794.0,83.14,3.22
0.4520722039323043,0.8919813464595485,64.93,5.25,603.3,276.2,5.98,4.33,509.863,60.42,58.105,369.898,64.93,5.25,603.3,276.2,1335.0,232.91,4.29
0.6776147890466889,0.7354170229639855,1.31,4.3,415.2,183.5,5.65,3.69,355.55,59.423,29.763,380.88,1.31,4.3,415.2,183.5,1112.0,173.96,3.9
0.9088176373395028,0.4171936026123168,1.28,4.81,611.5,302.9,5.78,4.33,280.59,57.797,27.027,396.183,1.28,4.81,611.5,302.9,1172.0,231.75,3.45
0.436651231956064,0.8996308696522433,1.35,7.66,973.4,250.7,5.91,3.93,492.826,62.031,53.348,391.349,1.35,7.66,973.4,250.7,1532.0,195.05,4.12
0.8520775211013093,0.5234156073655503,16.13,10.23,349.2,114.0,4.81,2.27,516.598,61.613,73.874,370.082,16.13,10.23,349.2,114.0,822.0,58.64,3.19
0.8779600847008882,0.4787338401157884,1.21,4.76,450.1,180.9,5.85,3.67,290.626,59.401,27.503,393.663,1.21,4.76,450.1,180.9,1205.0,171.29,3.9
0.7721565844991642,0.6354323008901774,1.35,5.07,778.4,403.5,6.31,5.58,327.684,60.17,28.805,396.766,1.35,5.07,778.4,403.5,1427.0,361.53,3.98
-0.012910296075009,0.999916658654738,1.39,10.25,535.2,200.1,5.84,3.1,462.294,59.717,37.031,375.079,1.39,10.25,535.2,200.1,1204.0,123.07,4.18
0.436651231956064,0.8996308696522433,53.12,5.25,481.9,222.4,5.64,3.82,506.199,60.557,58.243,367.695,53.12,5.25,481.9,222.4,1149.0,184.89,4.02
0.7611042586607746,0.6486295610349815,1.0,5.53,420.0,177.5,4.41,3.13,304.239,57.511,38.853,395.6,1.0,5.53,420.0,177.5,781.0,125.92,3.43
0.9574851883550392,-0.288482432880609,1.18,4.11,454.0,148.3,6.84,2.72,335.324,56.399,54.493,428.499,1.18,4.11,454.0,148.3,1727.0,93.09,3.29
0.8140460935082179,0.5808002734538008,1.18,5.7,469.6,207.1,5.02,3.26,454.634,59.154,53.874,326.865,1.18,5.7,469.6,207.1,858.0,136.59,3.36
0.893918596519257,0.4482293417404106,1.46,5.7,375.9,153.5,5.52,2.78,476.572,58.506,52.347,390.772,1.46,5.7,375.9,153.5,1131.0,97.64,3.79
0.8520775211013093,0.5234156073655503,1.1,5.2,508.0,183.2,4.62,2.93,261.886,57.468,36.696,392.89,1.1,5.2,508.0,183.2,878.0,109.01,3.28
0.5416278206559814,0.8406184056344782,1.0,45.16,464.6,198.6,5.94,3.46,340.46,59.92,42.919,399.889,1.0,45.16,464.6,198.6,1356.0,153.86,4.39
0.5270777086423722,0.8498170915275278,0.92,22.74,363.1,121.7,5.47,2.58,342.008,60.17,43.343,394.05,0.92,22.74,363.1,121.7,1142.0,81.28,4.84
0.8609610158889943,0.5086709438521044,17.98,9.79,409.4,147.8,5.32,2.66,517.211,61.961,73.771,369.714,17.98,9.79,409.4,147.8,1041.0,87.86,3.69
-0.2843591872810036,0.9587178169872964,1.18,11.97,319.8,129.7,5.17,2.16,417.167,59.333,38.204,384.851,1.18,11.97,319.8,129.7,921.0,51.25,3.66
0.6254105729852463,0.7802958510707755,19.88,5.58,461.0,339.5,4.99,5.18,487.99,60.329,56.327,378.626,19.88,5.58,461.0,339.5,841.0,323.75,3.31
0.8335557718385699,0.5524353131676196,1.19,7.13,453.4,230.5,4.74,3.73,415.472,59.626,45.062,403.031,1.19,7.13,453.4,230.5,930.0,176.67,3.55
-0.0473213883224318,0.9988797155850336,1.38,9.38,374.4,149.0,4.96,2.56,465.848,59.581,37.633,376.569,1.38,9.38,374.4,149.0,805.0,79.67,3.26
0.869589389346611,0.4937755501599772,26.21,10.06,484.5,182.8,5.7,3.17,517.211,62.008,73.617,381.634,26.21,10.06,484.5,182.8,1217.0,129.03,4.09
-0.2678143051621742,0.9634705485641488,1.19,17.05,380.1,143.6,5.71,2.44,416.037,59.289,37.668,387.134,1.19,17.05,380.1,143.6,1190.0,70.99,4.1
-0.18399835165768,0.9829265519799822,1.12,55.17,696.4,315.5,6.97,4.65,408.168,59.671,34.105,395.406,1.12,55.17,696.4,315.5,1993.0,265.88,4.77
0.8039279618328213,0.5947266869607633,1.46,5.9,1153.3,430.4,7.1,5.87,290.626,56.964,37.885,395.018,1.46,5.9,1153.3,430.4,2447.0,390.94,5.13
-0.8820480249558534,0.4711595076738641,1.17,11.14,974.9,608.3,6.37,6.45,464.07,65.134,68.093,404.413,1.17,11.14,974.9,608.3,1584.0,460.2,3.98
0.9413173175128472,0.3375228995941133,1.31,4.49,902.9,485.6,7.2,6.94,262.808,52.37,26.408,416.412,1.31,4.49,902.9,485.6,1987.0,517.05,4.45
0.0559169901006032,0.9984354211555644,30.36,6.48,336.3,209.8,4.73,3.45,514.759,59.875,65.423,382.389,30.36,6.48,336.3,209.8,828.0,152.97,3.06
-0.2008905551306352,0.97961369164549,1.09,47.52,823.2,236.3,7.53,3.38,409.848,59.739,34.679,411.177,1.09,47.52,823.2,236.3,2463.0,146.86,5.14
-0.3008198076356675,0.9536809966304456,1.18,8.58,275.8,95.4,4.82,1.88,418.298,59.491,38.6,384.281,1.18,8.58,275.8,95.4,775.0,33.88,3.11
0.7935716089521474,0.6084768701151261,1.25,5.6,804.7,343.5,6.32,5.07,296.428,57.643,38.125,393.856,1.25,5.6,804.7,343.5,1833.0,306.8,5.53
0.4673592171580022,0.8840675099433636,1.58,7.85,673.6,258.1,5.42,4.42,482.57,64.27,52.477,404.413,1.58,7.85,673.6,258.1,1255.0,245.02,3.47
0.4673592171580022,0.8840675099433636,34.23,8.88,490.7,248.3,5.8,3.86,512.31,61.66,60.242,395.018,34.23,8.88,490.7,248.3,1257.0,188.7,3.56
0.8779600847008882,0.4787338401157884,35.85,9.81,703.7,243.7,6.11,3.71,519.052,61.014,73.463,391.349,35.85,9.81,703.7,243.7,1421.0,175.28,4.18
0.373719714790469,0.9275416835791966,1.19,5.74,323.8,205.0,4.61,3.45,286.307,62.591,43.111,406.393,1.19,5.74,323.8,205.0,806.0,153.93,3.2
0.7721565844991642,0.6354323008901774,1.0,5.52,503.0,192.0,4.73,3.39,301.789,57.687,38.6,395.6,1.0,5.52,503.0,192.0,925.0,147.88,4.38
0.9226395488404876,-0.3856634062436074,1.2,4.4,527.6,181.3,4.69,3.24,159.756,47.309,23.65,299.879,1.2,4.4,527.6,181.3,907.0,134.9,3.31
0.0902516100310411,0.995918996147179,28.7,14.98,564.9,354.9,5.4,5.5,504.369,59.468,62.087,372.481,28.7,14.98,564.9,354.9,1030.0,353.31,3.71
-0.012910296075009,0.999916658654738,1.07,18.04,426.4,170.4,5.47,2.91,346.15,59.649,46.017,404.413,1.07,18.04,426.4,170.4,1144.0,107.59,3.97
0.6518989958787126,0.7583058084785624,1.32,4.44,371.9,185.2,5.12,3.73,359.764,59.536,30.014,378.439,1.32,4.44,371.9,185.2,873.0,177.02,3.14
0.7498264012045686,0.6616346182422783,1.0,5.51,384.5,158.9,4.32,2.94,306.205,57.599,39.071,395.988,1.0,5.51,384.5,158.9,739.0,109.91,3.1
0.6648553979642865,0.7469720876965552,30.28,5.04,1014.6,528.3,6.57,6.13,486.784,60.397,55.831,382.767,30.28,5.04,1014.6,528.3,1701.0,422.46,4.16
0.9668478136052776,-0.2553532951161872,1.18,4.11,173.4,61.9,5.38,1.65,336.348,57.533,54.803,390.58,1.18,4.11,173.4,61.9,965.0,24.01,3.61
0.901501684131884,0.4327755925504312,1.46,5.7,536.8,273.0,6.12,4.17,474.778,58.151,52.217,399.693,1.46,5.7,536.8,273.0,1423.0,222.08,3.43
0.9523775757303976,0.304921224656289,1.1,7.5,334.2,150.0,4.56,2.8,422.268,58.863,64.983,396.183,1.1,7.5,334.2,150.0,727.0,98.68,3.04
0.8239230057575543,0.5667017562911175,1.18,5.7,610.8,281.8,5.35,4.1,450.531,59.378,53.742,324.858,1.18,5.7,610.8,281.8,1007.0,210.48,3.91
0.9927487224577402,0.1202080448993527,1.1,11.74,325.1,106.6,4.7,2.53,347.709,60.602,36.855,402.047,1.1,11.74,325.1,106.6,910.0,77.65,3.05
0.5270777086423722,0.8498170915275278,56.84,5.02,1031.3,444.2,7.16,5.69,518.438,60.969,57.372,409.777,56.84,5.02,1031.3,444.2,2136.0,372.73,5.5
0.941317317512847,-0.3375228995941134,1.37,7.69,1293.4,587.0,7.65,6.14,301.789,37.185,40.875,162.314,1.37,7.69,1293.4,587.0,2461.0,423.18,4.13
0.4825077417612184,0.8758917051442429,71.27,4.77,720.1,344.8,6.16,5.07,513.534,61.198,57.829,385.801,71.27,4.77,720.1,344.8,1443.0,307.1,4.73
0.9574851883550392,-0.288482432880609,1.34,7.68,383.9,124.3,5.47,2.56,311.64,40.207,41.099,201.301,1.34,7.68,383.9,124.3,1011.0,80.09,4.96
0.4673592171580022,0.8840675099433636,71.28,5.16,639.1,316.2,6.13,4.87,512.31,60.969,58.013,379.001,71.28,5.16,639.1,316.2,1423.0,286.7,4.44
0.3090169943749474,0.9510565162951536,1.1,6.2,304.7,124.4,4.73,2.6,382.257,54.263,52.045,294.241,1.1,6.2,304.7,124.4,845.0,82.98,3.46
