day_cos,day_sin,aforo_Arroyo,aforo_Calatayud,aforo_Mendavia,aforo_Miranda,aforo_castejon,aforo_palazuelos,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
-0.81901488666808,-0.5737722679043248,25.37,9.58,44.5,35.3,1.55,0.7,25.37,9.58,44.5,35.3,52.0,0.8,0.72
-0.8090169943749476,-0.587785252292473,25.41,9.11,47.5,33.3,1.56,0.7,25.41,9.11,47.5,33.3,52.0,0.8,0.72
-0.798779372886365,-0.6016240632249223,25.43,9.61,44.9,29.4,1.69,0.7,25.43,9.61,44.9,29.4,65.0,0.8,0.78
-0.7883050558305257,-0.6152845999633274,22.37,9.92,43.8,28.9,1.57,0.7,22.37,9.92,43.8,28.9,54.0,0.8,0.75
-0.7775971469736268,-0.6287628145958345,19.89,9.88,42.7,28.7,1.53,0.7,19.89,9.88,42.7,28.7,50.0,0.8,0.68
-0.7666588193001592,-0.6420547132365636,19.56,9.2,40.8,28.4,1.51,0.7,19.56,9.2,40.8,28.4,48.0,0.8,0.66
-0.7554933140726804,-0.655156357209085,19.55,8.72,37.9,26.4,1.49,0.7,19.55,8.72,37.9,26.4,46.0,0.8,0.65
-0.7441039398713606,-0.6680638642135336,19.73,8.78,42.2,26.4,1.47,0.7,19.73,8.78,42.2,26.4,44.0,0.8,0.64
-0.7324940716135788,-0.6807734094770164,19.78,9.03,36.0,26.7,1.51,0.7,19.78,9.03,36.0,26.7,48.0,0.8,0.68
-0.7206671495538611,-0.6932812268869775,19.8,9.2,37.6,28.4,1.5,0.7,19.8,9.2,37.6,28.4,47.0,0.8,0.72
-0.7086266782644598,-0.7055836101071777,19.74,8.98,41.9,27.5,1.54,0.7,19.74,8.98,41.9,27.5,51.0,0.8,0.72
-0.6963762255968724,-0.7176769136759618,19.86,8.15,38.0,28.1,1.55,0.7,19.86,8.15,38.0,28.1,51.0,0.8,0.72
-0.6839194216246107,-0.7295575540864874,19.88,7.89,40.6,27.1,1.56,0.7,19.88,7.89,40.6,27.1,53.0,0.8,0.72
-0.6712599575675319,-0.7412220108485955,19.76,7.66,37.1,25.8,1.51,0.7,19.76,7.66,37.1,25.8,48.0,0.8,0.74
-0.6584015846980489,-0.7526668275320083,19.92,7.68,38.3,26.5,1.58,0.7,19.92,7.68,38.3,26.5,54.0,0.8,0.74
-0.64534811322955,-0.7638886127905429,20.27,7.49,39.0,26.9,1.53,0.7,20.27,7.49,39.0,26.9,50.0,0.8,0.77
-0.6321034111873488,-0.7748840413670406,20.43,7.57,36.3,26.4,1.55,0.7,20.43,7.57,36.3,26.4,51.0,0.8,0.78
-0.6186714032625032,-0.7856498550787144,19.88,7.6,35.6,26.4,1.55,0.7,19.88,7.6,35.6,26.4,52.0,0.8,0.75
-0.6050560696488494,-0.7961828637826154,19.88,7.5,35.2,26.3,1.51,0.7,19.88,7.5,35.2,26.3,48.0,0.8,0.71
-0.5912614448635783,-0.8064799463209447,19.88,7.38,33.3,25.3,1.53,0.7,19.88,7.38,33.3,25.3,50.0,0.8,0.69
-0.5772916165517278,-0.8165380514459157,19.88,7.21,32.2,23.0,1.47,0.71,19.88,7.21,32.2,23.0,44.0,0.86,0.69
-0.5631507242749189,-0.8263541987239094,19.84,7.66,29.2,22.7,1.48,0.72,19.84,7.66,29.2,22.7,45.0,1.0,0.66
-0.5488429582847199,-0.8359254794186365,19.9,7.51,28.3,23.3,1.49,0.74,19.9,7.51,28.3,23.3,46.0,1.11,0.69
